time,populationID,neuronID,valueType,value
0.167,999,0,3,0.239443
0.167,94651192721968,0,3,0.040673
0.167,94651192725616,0,3,0.392737
0.168,999,0,3,0.237627
0.168,94651192721968,0,3,0.0392535
0.168,94651192725616,0,3,0.392811
0.169,999,0,3,0.236471
0.169,94651192721968,0,3,0.0392609
0.169,94651192725616,0,3,0.37611
0.17,999,0,3,0.235989
0.17,94651192721968,0,3,0.0375933
0.17,94651192725616,0,3,0.367369
0.171,999,0,3,0.236189
0.171,94651192721968,0,3,0.0367204
0.171,94651192725616,0,3,0.359483
0.172,999,0,3,0.23708
0.172,94651192721968,0,3,0.0359328
0.172,94651192725616,0,3,0.350985
0.173,999,0,3,0.238666
0.173,94651192721968,0,3,0.0350841
0.173,94651192725616,0,3,0.332506
0.174,999,0,3,0.240951
0.174,94651192721968,0,3,0.0332383
0.174,94651192725616,0,3,0.320996
0.175,999,0,3,0.243934
0.175,94651192721968,0,3,0.0320885
0.175,94651192725616,0,3,0.309621
0.176,999,0,3,0.247614
0.176,94651192721968,0,3,0.0309522
0.176,94651192725616,0,3,0.307455
0.177,999,0,3,0.251986
0.177,94651192721968,0,3,0.0307358
0.177,94651192725616,0,3,0.291609
0.178,999,0,3,0.257043
0.178,94651192721968,0,3,0.0291527
0.178,94651192725616,0,3,0.286736
0.179,999,0,3,0.262776
0.179,94651192721968,0,3,0.0286657
0.179,94651192725616,0,3,0.275151
0.18,999,0,3,0.269174
0.18,94651192721968,0,3,0.0275082
0.18,94651192725616,0,3,0.27089
0.181,999,0,3,0.276221
0.181,94651192721968,0,3,0.0270824
0.181,94651192725616,0,3,0.27437
0.182,999,0,3,0.283902
0.182,94651192721968,0,3,0.0274301
0.182,94651192725616,0,3,0.262149
0.183,999,0,3,0.292198
0.183,94651192721968,0,3,0.0262089
0.183,94651192725616,0,3,0.258524
0.184,999,0,3,0.301088
0.184,94651192721968,0,3,0.0258467
0.184,94651192725616,0,3,0.255891
0.185,999,0,3,0.310549
0.185,94651192721968,0,3,0.0255835
0.185,94651192725616,0,3,0.252266
0.186,999,0,3,0.320556
0.186,94651192721968,0,3,0.0252213
0.186,94651192725616,0,3,0.248005
0.187,999,0,3,0.331083
0.187,94651192721968,0,3,0.0247954
0.187,94651192725616,0,3,0.245765
0.188,999,0,3,0.342099
0.188,94651192721968,0,3,0.0245716
0.188,94651192725616,0,3,0.245765
0.189,999,0,3,0.353576
0.189,94651192721968,0,3,0.0245716
0.189,94651192725616,0,3,0.237805
0.19,999,0,3,0.36548
0.19,94651192721968,0,3,0.023776
0.19,94651192725616,0,3,0.243525
0.191,999,0,3,0.377777
0.191,94651192721968,0,3,0.0243477
0.191,94651192725616,0,3,0.241504
0.192,999,0,3,0.390433
0.192,94651192721968,0,3,0.0241457
0.192,94651192725616,0,3,0.24214
0.193,999,0,3,0.403412
0.193,94651192721968,0,3,0.0242093
0.193,94651192725616,0,3,0.243132
0.194,999,0,3,0.416674
0.194,94651192721968,0,3,0.0243084
0.194,94651192725616,0,3,0.244381
0.195,999,0,3,0.430182
0.195,94651192721968,0,3,0.0244332
0.195,94651192725616,0,3,0.248005
0.196,999,0,3,0.443897
0.196,94651192721968,0,3,0.0247954
0.196,94651192725616,0,3,0.253651
0.197,999,0,3,0.457777
0.197,94651192721968,0,3,0.0253596
0.197,94651192725616,0,3,0.258524
0.198,999,0,3,0.471781
0.198,94651192721968,0,3,0.0258467
0.198,94651192725616,0,3,0.262149
0.199,999,0,3,0.48587
0.199,94651192721968,0,3,0.0262089
0.199,94651192725616,0,3,0.26641
0.2,999,0,3,0.5
0.2,94651192721968,0,3,0.0266347
0.2,94651192725616,0,3,0.27885
0.201,999,0,3,0.51413
0.201,94651192721968,0,3,0.0278778
0.201,94651192725616,0,3,0.285351
0.202,999,0,3,0.528219
0.202,94651192721968,0,3,0.0285274
0.202,94651192725616,0,3,0.285277
0.203,999,0,3,0.542223
0.203,94651192721968,0,3,0.02852
0.203,94651192725616,0,3,0.299495
